grantee,url,amount,date,program,purpose
KCET,https://hewlett.org/grants/kcet-for-california-connected-a-collaborative-public-television-series-produced-by-kcet-kpbs-kqed-and-kvie-on-the-changes-that-are-transforming-california-3/,300000,2000-10-16,Special Projects,"For California Connected, A Collaborative Public Television Series Produced By KCET, KPBS, KQED, And KVIE On The Changes That Are Transforming California"
Latino Issues Forum,https://hewlett.org/grants/latino-issues-forum-for-the-latino-water-policy-project/,125000,2000-10-16,Environment,For The Latino Water Policy Project
Center for Advanced Study in the Behavioral Sciences,https://hewlett.org/grants/center-for-advanced-study-in-the-behavioral-sciences-for-general-support-0/,2000000,2000-10-16,Special Projects,For General Support
Organization for Tropical Studies,https://hewlett.org/grants/organization-for-tropical-studies-for-the-decision-makers-program/,300000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 45 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Decision-makers Program
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-aileycamp/,450000,2000-10-16,Performing Arts,For AileyCamp
Council on Foreign Relations,https://hewlett.org/grants/council-on-foreign-relations-for-the-center-for-preventive-action/,1000000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 46 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Center For Preventive Action
Mills College,https://hewlett.org/grants/mills-college-for-the-liberal-arts-institutions-program/,400000,2000-10-16,Education,For The Liberal Arts Institutions Program
San Francisco Conservatory of Music,https://hewlett.org/grants/san-francisco-conservatory-of-music-for-renovation-of-a-new-facility/,500000,2000-10-16,Special Projects,For Renovation Of A New Facility
Stanford University,https://hewlett.org/grants/stanford-university-for-the-archaeology-center/,1000000,2000-10-16,Special Projects,For The Archaeology Center
San Francisco Conservatory of Music,https://hewlett.org/grants/san-francisco-conservatory-of-music-for-renovation-of-a-new-facility/,500000,2000-10-16,Special Projects,For Renovation Of A New Facility
Center for Advanced Study in the Behavioral Sciences,https://hewlett.org/grants/center-for-advanced-study-in-the-behavioral-sciences-for-general-support-0/,2000000,2000-10-16,Special Projects,For General Support
MSI-US,https://hewlett.org/grants/msi-us-for-general-support-0/,1500000,2000-10-16,Global Development and Population,For General Support
Pathfinder International,https://hewlett.org/grants/pathfinder-international-for-general-support-1/,1000000,2000-10-16,Global Development and Population,For General Support
EngenderHealth,https://hewlett.org/grants/engenderhealth-for-general-support-0/,1250000,2000-10-16,Global Development and Population,For General Support
KCET,https://hewlett.org/grants/kcet-for-california-connected-a-collaborative-public-television-series-produced-by-kcet-kpbs-kqed-and-kvie-on-the-changes-that-are-transforming-california-3/,300000,2000-10-16,Special Projects,"For California Connected, A Collaborative Public Television Series Produced By KCET, KPBS, KQED, And KVIE On The Changes That Are Transforming California"
Consensus Organizing Institute,https://hewlett.org/grants/consensus-organizing-institute-for-general-support/,370000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 26 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Wallace Alexander Gerbode Foundation,https://hewlett.org/grants/wallace-alexander-gerbode-foundation-for-regranting-for-fellowships-to-bay-area-choreographers-and-presenting-organizations/,150000,2000-10-16,Performing Arts,For Regranting For Fellowships To Bay Area Choreographers And Presenting Organizations
Creative Capital Foundation,https://hewlett.org/grants/creative-capital-foundation-for-regranting-to-individual-artists-in-california-0/,300000,2000-10-16,Performing Arts,For Regranting To Individual Artists In California
Grantmakers in the Arts,https://hewlett.org/grants/grantmakers-in-the-arts-for-general-support-1/,76000,2000-10-16,Performing Arts,For General Support
Trust for Public Land,https://hewlett.org/grants/trust-for-public-land-for-development-of-the-coast-dairies-management-plan/,250000,2000-10-16,Environment,For Development Of The Coast Dairies Management Plan
Latino Issues Forum,https://hewlett.org/grants/latino-issues-forum-for-the-latino-water-policy-project/,125000,2000-10-16,Environment,For The Latino Water Policy Project
Pro Bono Project of Santa Clara County,https://hewlett.org/grants/pro-bono-project-of-santa-clara-county-for-the-family-law-advocates-program/,90000,2000-10-16,SF Bay Area,For The Family Law Advocates Program
Sexuality Information and Education Council of the United States,https://hewlett.org/grants/sexuality-information-and-education-council-of-the-united-states-for-general-support-0/,1000000,2000-10-16,Global Development and Population,For General Support
Film Arts Foundation,https://hewlett.org/grants/film-arts-foundation-for-a-documentary-film-on-the-life-of-bay-area-composer-lou-harrison/,150000,2000-10-16,Special Projects,For A Documentary Film On The Life Of Bay Area Composer Lou Harrison
Tanana Chiefs Conference,https://hewlett.org/grants/tanana-chiefs-conference-for-training-and-workshops-on-negotiation-skills/,160000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 17 Months Type of Support General Support/Organization About the Grantee Grantee Website,For Training And Workshops On Negotiation Skills
International Planned Parenthood Federation,https://hewlett.org/grants/international-planned-parenthood-federation-for-the-affiliate-in-pakistan/,250000,2000-10-16,Global Development and Population,For The Affiliate In Pakistan
Population Council,https://hewlett.org/grants/population-council-for-the-contraceptive-development-program-0/,1500000,2000-10-16,Global Development and Population,For The Contraceptive Development Program
International Resource Group on Disarmament and Security in the Horn of Africa,https://hewlett.org/grants/international-resource-group-on-disarmament-and-security-in-the-horn-of-africa-for-general-support/,300000,2000-10-16,"Conflict Resolution Date Awarded 10/16/2000 Term 73 Months Type of Support General Support/Organization Strategies About the Grantee Address P.O. Box 63078 , Nairobi Grants to this Grantee Oct 16, 2000 $300,000 for general",For General Support
Los Angeles Educational Partnership,https://hewlett.org/grants/los-angeles-educational-partnership-for-the-design-for-excellence-linking-teaching-and-achievement-project/,500000,2000-10-16,Education,For The Design For Excellence: Linking Teaching And Achievement Project
YMCA of the East Bay,https://hewlett.org/grants/ymca-of-the-east-bay-for-east-bay-neighborhood-links-job-training-and-placement-program/,200000,2000-10-16,SF Bay Area,For East Bay Neighborhood Links Job Training And Placement Program
Oregon Shakespeare Festival,https://hewlett.org/grants/oregon-shakespeare-festival-for-renovation-of-the-black-swan-theatre/,500000,2000-10-16,Special Projects,For Renovation Of The Black Swan Theatre
