grantee,url,amount,date,program,purpose
Saint Olaf College,https://hewlett.org/grants/saint-olaf-college-for-the-pluralism-and-unity-program/,150000,2000-07-17,Education,For The Pluralism And Unity Program
Allegheny College,https://hewlett.org/grants/allegheny-college-for-the-liberal-arts-institutions-program/,120000,2000-07-17,Education,For The Liberal Arts Institutions Program
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-establishment-of-a-federal-funding-initiative-called-the-49-50-fund/,50000,2000-07-17,Environment,For The Establishment Of A Federal Funding Initiative Called The 49/50 Fund
Stanford University,https://hewlett.org/grants/stanford-university-for-the-john-gardner-center-for-youth-and-their-communities-0/,500000,2000-07-17,Education,For The John Gardner Center For Youth And Their Communities
Bryn Mawr College,https://hewlett.org/grants/bryn-mawr-college-for-the-liberal-arts-institutions-program/,150000,2000-07-17,Education,For The Liberal Arts Institutions Program
Sierra Business Council,https://hewlett.org/grants/sierra-business-council-to-purchase-a-building-for-use-as-an-office-and-as-a-nonprofit-center/,335000,2000-07-17,Special Projects,To Purchase A Building For Use As An Office And As A Nonprofit Center
Bay Area Coalition of Equitable Schools,https://hewlett.org/grants/bay-area-coalition-of-equitable-schools-for-general-support/,700000,2000-07-17,Education,For General Support
San Francisco Mime Troupe,https://hewlett.org/grants/san-francisco-mime-troupe-for-general-support-cash-reserve-and-debt-elimination/,75000,2000-07-17,Performing Arts,"For General Support, Cash Reserve And Debt Elimination"
Texas Center for Policy Studies,https://hewlett.org/grants/texas-center-for-policy-studies-for-a-project-to-promote-more-sustainable-water-management-in-the-texas-chihuahua-portion-of-the-rio-grande-basin-below-the-el-paso-juarez-area/,200000,2000-07-17,U.S.-Latin American Relations Date Awarded 7/17/2000 Term 24 Months Type of Support Project Strategies About the Grantee Grantee Website,"For A Project To Promote More Sustainable Water Management In The Texas/Chihuahua Portion Of The Rio Grande Basin, Below The El Paso/Juarez Area"
Center for Academic Integrity,https://hewlett.org/grants/center-for-academic-integrity-for-building-strength-and-stability-to-promote-academic-integrity/,140000,2000-07-17,Education,For Building Strength And Stability To Promote Academic Integrity
EZ/EC Foundation Consortium,https://hewlett.org/grants/ez-ec-foundation-consortium-for-general-support/,125000,2000-07-17,"Regional Date Awarded 7/17/2000 Term 52 Months Type of Support General Support/Organization Strategies About the Grantee Address 6900 Wisconsin Avenue, Suite 702 Bethesda, MA 20815-6103 Grants to this Grantee Jul 17, 2000 $125,000 for general",For General Support
Creighton University,https://hewlett.org/grants/creighton-university-for-the-liberal-arts-institutions-program/,150000,2000-07-17,Education,For The Liberal Arts Institutions Program
Georgetown University,https://hewlett.org/grants/georgetown-university-for-the-pluralism-and-unity-program/,150000,2000-07-17,Education,For The Pluralism And Unity Program
"National Center for Strategic Nonprofit, Planning and Community Leadership",https://hewlett.org/grants/national-center-for-strategic-nonprofit-planning-and-community-leadership-for-the-bay-area-partners-for-fragile-families-project/,400000,2000-07-17,SF Bay Area,For The Bay Area Partners For Fragile Families Project
University of Rochester,https://hewlett.org/grants/university-of-rochester-for-the-pluralism-and-unity-program/,150000,2000-07-17,Education,For The Pluralism And Unity Program
Brandeis University,https://hewlett.org/grants/brandeis-university-for-the-pluralism-and-unity-program/,150000,2000-07-17,Education,For The Pluralism And Unity Program
Stanford University,https://hewlett.org/grants/stanford-university-to-develop-law-school-course-materials-on-problem-solving-and-conflict-resolution/,140000,2000-07-17,Conflict Resolution Date Awarded 7/17/2000 Term 126 Months Type of Support Project Strategies About the Grantee Grantee Website,To Develop Law School Course Materials On Problem Solving And Conflict Resolution
Ithaca College,https://hewlett.org/grants/ithaca-college-for-the-liberal-arts-institutions-program/,150000,2000-07-17,Education,For The Liberal Arts Institutions Program
Community Conservancy International,https://hewlett.org/grants/community-conservancy-international-for-the-baldwin-hills-regional-park-project/,100000,2000-07-17,Environment,For The Baldwin Hills Regional Park Project
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-multi-species-habitat-planning-project-in-san-diego-and-merced-counties/,75000,2000-07-17,Environment,For The Multi-species Habitat Planning Project In San Diego And Merced Counties
San Jose Multicultural Artists Guild,https://hewlett.org/grants/san-jose-multicultural-artists-guild-for-general-support-2/,20000,2000-07-13,Performing Arts,For General Support
Conservation Colorado Education Fund,https://hewlett.org/grants/conservation-colorado-education-fund-for-the-growth-education-project/,50000,2000-07-11,Environment,For The Growth Education Project
California Western School of Law,https://hewlett.org/grants/california-western-school-of-law-to-assist-in-the-planning-execution-and-follow-up-publication-for-the-pan-american-conference-on-judicial-reform-in-latin-america/,50000,2000-07-06,U.S.-Latin American Relations Date Awarded 7/6/2000 Term 11 Months Type of Support Project Strategies About the Grantee Grantee Website,"To Assist In The Planning, Execution, And Follow-up Publication For The Pan American Conference On Judicial Reform In Latin America"
Proyecto Fronterizo de Educación Ambiental,https://hewlett.org/grants/proyecto-fronterizo-de-educacion-ambiental-for-the-third-annual-conference-on-the-u-s-mexico-border-environment/,50000,2000-07-06,U.S.-Latin American Relations Date Awarded 7/6/2000 Term 13 Months Type of Support Project About the Grantee Grantee Website,For The Third Annual Conference On The U.S.-Mexico Border Environment
San Francisco Foundation,https://hewlett.org/grants/san-francisco-foundation-for-the-diversity-network-project/,20000,2000-06-19,Environment,For The Diversity Network Project
Stanford University,https://hewlett.org/grants/stanford-university-for-the-national-conference-of-black-physics-students/,50000,2000-06-09,Education,For The National Conference Of Black Physics Students
Japan Society of Northern California,https://hewlett.org/grants/japan-society-of-northern-california-for-a-conference-seminar-research-projects-and-other-activities-to-commemorate-the-signing-of-the-san-francisco-peace-treaty-between-the-united-states-and-japa/,25000,2000-06-05,Special Projects,"For A Conference, Seminar, Research Projects And Other Activities To Commemorate The Signing Of The San Francisco Peace Treaty Between The United States And Japan"
Stanford University,https://hewlett.org/grants/stanford-university-for-the-philosophy-discovery-institute/,10000,2000-06-02,Education,For The Philosophy Discovery Institute
Society of Professionals in Dispute Resolution,https://hewlett.org/grants/society-of-professionals-in-dispute-resolution-for-the-ongoing-consolidation-process-with-the-conflict-resolution-in-education-network-the-academy-of-family-mediators-and-society-of-professionals-i/,75000,2000-05-26,Conflict Resolution Date Awarded 5/26/2000 Term 4 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,"For The Ongoing Consolidation Process With The Conflict Resolution In Education Network, The Academy Of Family Mediators And Society Of Professionals In Dispute Resolution"
Consensus Building Institute,https://hewlett.org/grants/consensus-building-institute-for-the-deep-space-network-antennas-multiparty-mediation-project-at-the-jet-propulsion-laboratory/,30000,2000-05-24,Conflict Resolution Date Awarded 5/24/2000 Term 5 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Deep Space Network Antennas Multiparty Mediation Project At The Jet Propulsion Laboratory
Community Development Institute,https://hewlett.org/grants/community-development-institute-for-weekly-community-planning-meetings-in-conjunction-with-the-neighborhood-improvement-initiative/,40000,2000-05-22,SF Bay Area,For Weekly Community Planning Meetings In Conjunction With The Neighborhood Improvement Initiative
Mineral Policy Center,https://hewlett.org/grants/mineral-policy-center-for-the-abandoned-mine-land-action-plan/,60000,2000-05-22,Environment,For The Abandoned Mine Land Action Plan
University of Georgia,https://hewlett.org/grants/university-of-georgia-for-the-mediator-skills-project/,50000,2000-05-22,Conflict Resolution Date Awarded 5/22/2000 Term 19 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Mediator Skills Project
Harvard University,https://hewlett.org/grants/harvard-university-for-a-series-of-seminars-and-other-events-surrounding-the-release-of-professor-robert-putnams-book-bowling-along-collapse-and-revival-of-american-community-and-the-findings-of/,75000,2000-05-19,Special Projects,"For A Series Of Seminars And Other Events Surrounding The Release Of Professor Robert Putnam's Book, Bowling Along: Collapse And Revival Of American Community, And The Findings Of The Work Of The Saguaro Seminar"
Family Stress Center,https://hewlett.org/grants/family-stress-center-for-the-proud-fathers-program/,40000,2000-05-17,SF Bay Area,For The Proud Fathers Program
Pacific Environment and Resources Center,https://hewlett.org/grants/pacific-environment-and-resources-center-for-general-support/,75000,2000-05-10,Environment,For General Support
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-california-conservation-education-project/,75000,2000-05-09,Special Projects,For The California Conservation Education Project
New America Foundation,https://hewlett.org/grants/new-america-foundation-for-the-next-generation-leaders-program/,75000,2000-05-03,Special Projects,For The Next Generation Leaders Program
Twenty-First Century Initiative,https://hewlett.org/grants/twenty-first-century-initiative-for-production-of-a-documentary-film-entitled-john-gardner-life-on-the-learning-curve/,50000,2000-05-03,Special Projects,For Production Of A Documentary Film Entitled John Gardner: Life On The Learning Curve
Center for Women and Their Work,https://hewlett.org/grants/center-for-women-and-their-work-for-a-documentary-video-project-entitled-under-the-knife-cesarean-section-in-brazil/,75000,2000-05-02,Global Development and Population,For A Documentary Video Project Entitled Under The Knife: Cesarean Section In Brazil
San Francisco Study Center,https://hewlett.org/grants/san-francisco-study-center-for-the-space-for-the-arts-project/,75000,2000-04-27,Performing Arts,For The Space For The Arts Project
Noontime Concerts,https://hewlett.org/grants/noontime-concerts-for-general-support-and-planning-support/,25000,2000-04-26,Performing Arts,For General Support And Planning Support
University of Southern California,https://hewlett.org/grants/university-of-southern-california-for-the-higher-education-for-a-new-century-conference/,15000,2000-04-26,Education,For The Higher Education For A New Century Conference
Collins Center for Public Policy,https://hewlett.org/grants/collins-center-for-public-policy-for-the-funders-network-for-smart-growth-and-livable-communities/,70000,2000-04-19,Environment,For The Funders' Network For Smart Growth And Livable Communities
Harvard University,https://hewlett.org/grants/harvard-university-for-the-women-waging-peace-initiative/,100000,2000-04-17,"Conflict Resolution Date Awarded 4/17/2000 Term 24 Months Type of Support Project Strategies About the Grantee Address Harvard Kennedy School79 John F. Kennedy Street Cambridge, MA 02138 Grants to this Grantee Oct 22, 2002 $1,250,000 for the Harvard University Library Digitalization Planning and Pilot",For The Women Waging Peace Initiative
Claremont Graduate University,https://hewlett.org/grants/claremont-graduate-university-for-the-community-college-leadership-partnership-summer-design-workshop/,64000,2000-04-17,Education,For The Community College Leadership Partnership Summer Design Workshop
San Francisco Performances,https://hewlett.org/grants/san-francisco-performances-for-general-support-2/,400000,2000-04-17,Performing Arts,For General Support
Global Fund for Women,https://hewlett.org/grants/global-fund-for-women-for-family-planning-reproductive-health-and-rights-activities/,330000,2000-04-17,Global Development and Population,"For Family Planning, Reproductive Health And Rights Activities"
Cabrillo Festival of Contemporary Music,https://hewlett.org/grants/cabrillo-festival-of-contemporary-music-for-general-support-1/,150000,2000-04-17,Performing Arts,For General Support
Exploratorium,https://hewlett.org/grants/exploratorium-for-general-support/,100000,2000-04-17,Performing Arts,For General Support
San Francisco Contemporary Music Players,https://hewlett.org/grants/san-francisco-contemporary-music-players-for-general-support-1/,135000,2000-04-17,Performing Arts,For General Support
Sierra Club Foundation,https://hewlett.org/grants/sierra-club-foundation-for-the-international-population-program/,250000,2000-04-17,Global Development and Population,For The International Population Program
University of Pennsylvania,https://hewlett.org/grants/university-of-pennsylvania-for-phase-ii-of-the-fathering-integrated-data-system-project/,350000,2000-04-17,SF Bay Area,For Phase II Of The Fathering Integrated Data System Project
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-the-school-of-public-health/,150000,2000-04-17,Global Development and Population,For The School Of Public Health
Community School of Music and Arts,https://hewlett.org/grants/community-school-of-music-and-arts-for-general-support-0/,225000,2000-04-17,Performing Arts,For General Support
Harvard University,https://hewlett.org/grants/harvard-university-for-the-women-waging-peace-initiative/,100000,2000-04-17,"Conflict Resolution Date Awarded 4/17/2000 Term 24 Months Type of Support Project Strategies About the Grantee Address Harvard Kennedy School79 John F. Kennedy Street Cambridge, MA 02138 Grants to this Grantee Oct 22, 2002 $1,250,000 for the Harvard University Library Digitalization Planning and Pilot",For The Women Waging Peace Initiative
Urban Institute,https://hewlett.org/grants/urban-institute-for-a-research-study-on-the-support-system-for-american-artists/,75000,2000-04-17,Performing Arts,For A Research Study On The Support System For American Artists
Industry Initiatives for Science and Math Education,https://hewlett.org/grants/industry-initiatives-for-science-and-math-education-for-professional-development-activities-for-k14-teachers/,325000,2000-04-17,Education,For Professional Development Activities For K14 Teachers
University of Iowa,https://hewlett.org/grants/university-of-iowa-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
Cabrillo Festival of Contemporary Music,https://hewlett.org/grants/cabrillo-festival-of-contemporary-music-for-general-support-1/,150000,2000-04-17,Performing Arts,For General Support
Society of Environmental Journalists,https://hewlett.org/grants/society-of-environmental-journalists-for-general-support-3/,200000,2000-04-17,Environment,For General Support
Partners in Population and Development,https://hewlett.org/grants/partners-in-population-and-development-for-general-support-0/,300000,2000-04-17,Global Development and Population,For General Support
Exploratorium,https://hewlett.org/grants/exploratorium-for-general-support/,100000,2000-04-17,Performing Arts,For General Support
Latin American and Caribbean Economic Association,https://hewlett.org/grants/latin-american-and-caribbean-economic-association-for-the-latin-american-and-caribbean-economic-associations-2000-conference/,50000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 13 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Latin American And Caribbean Economic Association's 2000 Conference
San Francisco Contemporary Music Players,https://hewlett.org/grants/san-francisco-contemporary-music-players-for-general-support-1/,135000,2000-04-17,Performing Arts,For General Support
International Peace Academy,https://hewlett.org/grants/international-peace-academy-for-general-support-1/,150000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 38 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Tides Foundation,https://hewlett.org/grants/tides-foundation-for-the-indigenous-communities-mapping-initiative/,500000,2000-04-17,Environment,For The Indigenous Communities Mapping Initiative
Center for the Future of Teaching and Learning,https://hewlett.org/grants/center-for-the-future-of-teaching-and-learning-for-the-teaching-and-californias-future-initiative/,200000,2000-04-17,Education,For The Teaching And California's Future Initiative
Stimson Center,https://hewlett.org/grants/stimson-center-for-general-support-0/,325000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 25 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Search for Common Ground,https://hewlett.org/grants/search-for-common-ground-for-general-support-1/,900000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 34 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Izaak Walton League of America,https://hewlett.org/grants/izaak-walton-league-of-america-for-the-sustainability-education-project/,150000,2000-04-17,Global Development and Population,For The Sustainability Education Project
Island Press - Center for Resource Economics,https://hewlett.org/grants/island-press-center-for-resource-economics-for-island-press-0/,200000,2000-04-17,Environment,For Island Press
Management Sciences for Health,https://hewlett.org/grants/management-sciences-for-health-for-the-japanese-education-and-advocacy-program/,300000,2000-04-17,Global Development and Population,For The Japanese Education And Advocacy Program
Izaak Walton League of America,https://hewlett.org/grants/izaak-walton-league-of-america-for-the-sustainability-education-project/,150000,2000-04-17,Global Development and Population,For The Sustainability Education Project
Greater Yellowstone Coalition,https://hewlett.org/grants/greater-yellowstone-coalition-for-general-support-2/,200000,2000-04-17,Environment,For General Support
Center for Health and Gender Equity,https://hewlett.org/grants/center-for-health-and-gender-equity-for-general-support-1/,300000,2000-04-17,Global Development and Population,For General Support
Universidad Diego Portales,https://hewlett.org/grants/universidad-diego-portales-for-the-programa-de-justicia-criminal/,200000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 25 Months Type of Support Project About the Grantee Grantee Website,For The Programa De Justicia Criminal
Columbia University,https://hewlett.org/grants/columbia-university-for-the-international-conflict-resolution-program-and-the-conflict-resolution-network/,400000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 37 Months Type of Support Project Strategies About the Grantee Grantee Website,For The International Conflict Resolution Program And The Conflict Resolution Network
University of California at San Diego,https://hewlett.org/grants/university-of-california-at-san-diego-for-the-center-for-u-s-mexican-studies/,300000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 13 Months Type of Support General Support/Organization About the Grantee Grantee Website,For The Center For U.S.-Mexican Studies
Houston Advanced Research Center,https://hewlett.org/grants/houston-advanced-research-center-for-work-on-transboundary-water-issues-at-the-u-s-mexican-border/,300000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 23 Months Type of Support Project Strategies About the Grantee Grantee Website,For Work On Transboundary Water Issues At The U.S.-Mexican Border
International Crisis Group,https://hewlett.org/grants/international-crisis-group-for-general-support-1/,750000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 37 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Film Makers Collaborative,https://hewlett.org/grants/film-makers-collaborative-for-a-four-hour-pbs-miniseries-which-world-exploring-the-population-environment-relationship/,35000,2000-04-17,Global Development and Population,"For A Four-hour PBS Miniseries, Which World, Exploring The Population-Environment Relationship"
International Alert,https://hewlett.org/grants/international-alert-for-general-support-0/,600000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 45 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Ragazzi The Peninsula Boys' Chorus,https://hewlett.org/grants/ragazzi-the-peninsula-boys-chorus-for-general-support-1/,75000,2000-04-17,Performing Arts,For General Support
Rogue Institute for Ecology and Economy,https://hewlett.org/grants/rogue-institute-for-ecology-and-economy-for-general-support/,50000,2000-04-17,Environment,For General Support
One Thousand Friends of Oregon,https://hewlett.org/grants/one-thousand-friends-of-oregon-for-general-support/,200000,2000-04-17,Environment,For General Support
Boston Symphony Orchestra,https://hewlett.org/grants/boston-symphony-orchestra-for-tanglewood-music-centers-initiative-to-improve-bay-area-participation/,140000,2000-04-17,Performing Arts,For Tanglewood Music Center's Initiative To Improve Bay Area Participation
American Public Media,https://hewlett.org/grants/american-public-media-for-a-web-site-business-plan-project/,75000,2000-04-17,Performing Arts,For A Web Site Business Plan Project
European Centre for Conflict Prevention,https://hewlett.org/grants/european-centre-for-conflict-prevention-for-the-european-platform-for-conflict-prevention-and-transformation-0/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 37 Months Type of Support Project Strategies About the Grantee Grantee Website,For The European Platform For Conflict Prevention And Transformation
Missouri Botanical Garden,https://hewlett.org/grants/missouri-botanical-garden-for-the-center-for-conservation-and-sustainable-development/,200000,2000-04-17,Environment,For The Center For Conservation And Sustainable Development
University of Texas at Austin,https://hewlett.org/grants/university-of-texas-at-austin-for-the-general-education-in-research-universities-program/,145000,2000-04-17,Education,For The General Education In Research Universities Program
International Alert,https://hewlett.org/grants/international-alert-for-general-support-0/,600000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 45 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Planet 21,https://hewlett.org/grants/planet-21-to-update-the-web-site/,75000,2000-04-17,Global Development and Population,To Update The Web Site
National Council for Accreditation of Teacher Education,https://hewlett.org/grants/national-council-for-accreditation-of-teacher-education-for-general-support/,500000,2000-04-17,Education,For General Support
University of New Mexico,https://hewlett.org/grants/university-of-new-mexico-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
Center for Holistic Resource Management,https://hewlett.org/grants/center-for-holistic-resource-management-for-general-support/,100000,2000-04-17,Environment,For General Support
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-the-center-for-sustainable-resource-development-0/,240000,2000-04-17,Global Development and Population,For The Center For Sustainable Resource Development
Community Foundation Silicon Valley,https://hewlett.org/grants/community-foundation-silicon-valley-for-the-third-year-of-the-mayfair-improvement-initiative/,1210000,2000-04-17,SF Bay Area,For The Third Year Of The Mayfair Improvement Initiative
American Medical Women's Association,https://hewlett.org/grants/american-medical-womens-association-for-the-reproductive-health-initiative-a-program-to-improve-reproductive-health-education-and-training/,975000,2000-04-17,Global Development and Population,"For The Reproductive Health Initiative, A Program To Improve Reproductive Health Education And Training"
Vermont Law School,https://hewlett.org/grants/vermont-law-school-for-the-program-on-consensus-democracy-and-government-decisions/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 88 Months Type of Support Project Strategies About the Grantee Grantee Website,"For The Program On Consensus, Democracy And Government Decisions"
Brown University,https://hewlett.org/grants/brown-university-for-the-latin-american-studies-consortium-of-new-england/,100000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 18 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Latin American Studies Consortium Of New England
Brown University,https://hewlett.org/grants/brown-university-for-the-latin-american-studies-consortium-of-new-england/,100000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 18 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Latin American Studies Consortium Of New England
American Medical Women's Association,https://hewlett.org/grants/american-medical-womens-association-for-the-reproductive-health-initiative-a-program-to-improve-reproductive-health-education-and-training/,975000,2000-04-17,Global Development and Population,"For The Reproductive Health Initiative, A Program To Improve Reproductive Health Education And Training"
Grupo de Información en Reproducción Elegida,https://hewlett.org/grants/grupo-de-informacion-en-reproduccion-elegida-for-general-support-0/,600000,2000-04-17,Global Development and Population,For General Support
San Diego Foundation,https://hewlett.org/grants/san-diego-foundation-for-the-san-diego-dialogue-project-entitled-engaging-attentive-citizens-and-likely-voters-around-the-future-of-livable-communities/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 14 Months Type of Support Project Strategies About the Grantee Grantee Website,For The San Diego Dialogue Project Entitled 'Engaging Attentive Citizens And Likely Voters Around The Future Of Livable Communities'
Northern California Grantmakers,https://hewlett.org/grants/northern-california-grantmakers-for-the-national-service-task-force-and-collaborative-fund/,100000,2000-04-17,SF Bay Area,For The National Service Task Force And Collaborative Fund
State University of New York at Buffalo,https://hewlett.org/grants/state-university-of-new-york-at-buffalo-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
National Wildlife Federation,https://hewlett.org/grants/national-wildlife-federation-for-the-population-and-environment-program/,150000,2000-04-17,Global Development and Population,For The Population And Environment Program
Midsummer Mozart,https://hewlett.org/grants/midsummer-mozart-for-general-support-2/,30000,2000-04-17,Performing Arts,For General Support
North American Institute,https://hewlett.org/grants/north-american-institute-for-general-support/,200000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 19 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Napa Valley Symphony Association,https://hewlett.org/grants/napa-valley-symphony-association-for-general-support-and-planning/,75000,2000-04-17,Performing Arts,For General Support And Planning
Marin Symphony Association,https://hewlett.org/grants/marin-symphony-association-for-general-support-and-long-range-planning/,50000,2000-04-17,Performing Arts,For General Support And Long-range Planning
San Francisco Symphony,https://hewlett.org/grants/san-francisco-symphony-for-general-support-1/,700000,2000-04-17,Performing Arts,For General Support
Community Music Center,https://hewlett.org/grants/community-music-center-for-general-support-1/,255000,2000-04-17,Performing Arts,For General Support
Tufts University,https://hewlett.org/grants/tufts-university-for-the-center-for-human-rights-and-conflict-resolution/,275000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 41 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Center For Human Rights And Conflict Resolution
Learning Matters,https://hewlett.org/grants/learning-matters-for-public-education-media-projects/,250000,2000-04-17,Education,For Public Education Media Projects
Carmel Bach Festival,https://hewlett.org/grants/carmel-bach-festival-for-general-and-relocation-support/,260000,2000-04-17,Performing Arts,For General And Relocation Support
Montana State University,https://hewlett.org/grants/montana-state-university-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
Institute of International Education,https://hewlett.org/grants/institute-of-international-education-for-the-mexico-fellowship-program-jointly-funded-by-the-hewlett-ford-and-macarthur-foundations/,600000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 51 Months Type of Support Project Strategies About the Grantee Grantee Website,"For The Mexico Fellowship Program Jointly Funded By The Hewlett, Ford, And MacArthur Foundations"
Southern Illinois University Carbondale,https://hewlett.org/grants/southern-illinois-university-carbondale-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
San Miguel CASA,https://hewlett.org/grants/san-miguel-casa-for-general-support/,100000,2000-04-17,Global Development and Population,For General Support
Comunicación e Información de la Mujer,https://hewlett.org/grants/comunicacion-e-informacion-de-la-mujer-for-general-support-0/,120000,2000-04-17,Global Development and Population,For General Support
University of Oregon,https://hewlett.org/grants/university-of-oregon-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
National Park Foundation,https://hewlett.org/grants/national-park-foundation-for-the-outside-las-vegas-foundation/,300000,2000-04-17,Environment,For The Outside Las Vegas Foundation
Pronatura Peninsula de Baja California,https://hewlett.org/grants/pronatura-peninsula-de-baja-california-for-general-support/,175000,2000-04-17,Environment,For General Support
International Center for Religion and Diplomacy,https://hewlett.org/grants/international-center-for-religion-and-diplomacy-for-general-support/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 45 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Tides Center,https://hewlett.org/grants/tides-center-for-the-california-futures-network/,250000,2000-04-17,Environment,For The California Futures Network
Center for Health and Social Policy,https://hewlett.org/grants/center-for-health-and-social-policy-for-the-reproductive-and-sexual-health-and-rights-program/,75000,2000-04-17,Global Development and Population,For The Reproductive And Sexual Health And Rights Program
Forum on Early Warning and Early Response,https://hewlett.org/grants/forum-on-early-warning-and-early-response-for-general-support/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 42 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
University of California at San Diego,https://hewlett.org/grants/university-of-california-at-san-diego-for-the-center-for-comparative-immigration-studies/,300000,2000-04-17,U.S.-Latin American Relations Date Awarded 4/17/2000 Term 38 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For The Center For Comparative Immigration Studies
University of California at Irvine,https://hewlett.org/grants/university-of-california-at-irvine-for-a-project-entitled-abkhaz-georgian-peace-building-and-cooperation-among-multiple-initiatives/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 51 Months Type of Support Project Strategies About the Grantee Grantee Website,For A Project Entitled Abkhaz-Georgian Peace Building And Cooperation Among Multiple Initiatives
University of Oregon,https://hewlett.org/grants/university-of-oregon-for-the-general-education-in-research-universities-program/,150000,2000-04-17,Education,For The General Education In Research Universities Program
National Park Foundation,https://hewlett.org/grants/national-park-foundation-for-the-outside-las-vegas-foundation/,300000,2000-04-17,Environment,For The Outside Las Vegas Foundation
Pronatura Peninsula de Baja California,https://hewlett.org/grants/pronatura-peninsula-de-baja-california-for-general-support/,175000,2000-04-17,Environment,For General Support
International Center for Religion and Diplomacy,https://hewlett.org/grants/international-center-for-religion-and-diplomacy-for-general-support/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 45 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Tides Center,https://hewlett.org/grants/tides-center-for-the-california-futures-network/,250000,2000-04-17,Environment,For The California Futures Network
Center for Health and Social Policy,https://hewlett.org/grants/center-for-health-and-social-policy-for-the-reproductive-and-sexual-health-and-rights-program/,75000,2000-04-17,Global Development and Population,For The Reproductive And Sexual Health And Rights Program
Forum on Early Warning and Early Response,https://hewlett.org/grants/forum-on-early-warning-and-early-response-for-general-support/,300000,2000-04-17,Conflict Resolution Date Awarded 4/17/2000 Term 42 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Other Minds,https://hewlett.org/grants/other-minds-for-general-support-1/,30000,2000-04-13,Performing Arts,For General Support
Association of California Symphony Orchestras,https://hewlett.org/grants/association-of-california-symphony-orchestras-for-general-support-2/,35000,2000-04-13,Performing Arts,For General Support
Santa Cruz County Symphony Association,https://hewlett.org/grants/santa-cruz-county-symphony-association-for-general-support-2/,60000,2000-04-13,Performing Arts,For General Support
