grantee,url,amount,date,program,purpose
Environmental Justice Coalition for Water,https://hewlett.org/grants/environmental-justice-coalition-for-water-for-general-support-of-the-pacific-institute-for-studies-in-development-environment-and-securitys-environmental-justice-coalition-for-water/,300000,2005-06-20,Environment,"For General Support Of The Pacific Institute For Studies In Development, Environment And Security's Environmental Justice Coalition For Water"
Johns Hopkins University,https://hewlett.org/grants/johns-hopkins-university-for-continued-support-of-the-international-reporting-project-which-aims-to-increase-americans-understanding-of-global-issues-by-training-u-s-journalists-and-providing-the/,250000,2005-06-20,Global Development and Population,"For Continued Support Of The International Reporting Project, Which Aims To Increase Americans' Understanding Of Global Issues By Training U.S. Journalists And Providing Them With First-hand Overseas Reporting Opportunities"
Montalvo Association,https://hewlett.org/grants/montalvo-association-for-support-of-san-francisco-bay-area-performing-artists-participating-in-the-lucas-artists-residency-program/,200000,2005-06-20,Performing Arts,For Support Of San Francisco Bay Area Performing Artists Participating In The Lucas Artists Residency Program
Ravenswood City School District,https://hewlett.org/grants/ravenswood-city-school-district-for-support-of-the-ravenswood-city-school-district-after-school-programs/,124000,2005-06-20,Regional,For Support Of The Ravenswood City School District After School Programs
Fund for Folk Culture,https://hewlett.org/grants/fund-for-folk-culture-for-general-support/,25000,2005-06-20,Performing Arts,For General Support
National Environmental Trust,https://hewlett.org/grants/national-environmental-trust-for-general-support-of-the-national-environmental-trusts-environmental-policy-public-education-campaign/,500000,2005-06-20,Environment,For General Support Of The National Environmental Trust's Environmental Policy Public Education Campaign
The Marsh: A Breeding Ground for New Performance,https://hewlett.org/grants/the-marsh-a-breeding-ground-for-new-performance-for-general-support/,135000,2005-06-20,Performing Arts,For General Support
Carnegie Endowment for International Peace,https://hewlett.org/grants/carnegie-endowment-for-international-peace-for-general-support-of-ceips-china-program/,1000000,2005-06-20,Special Projects,For General Support Of CEIP's China Program
Bay Area School Reform Collaborative,https://hewlett.org/grants/bay-area-school-reform-collaborative-for-the-hewlett-annenberg-challenge-for-school-reform-in-the-bay-area-0/,2333333,2005-06-20,Education,For The Hewlett-Annenberg Challenge For School Reform In The Bay Area
Wilderness Society,https://hewlett.org/grants/wilderness-society-for-general-support-of-the-wilderness-societys-campaign-to-save-lands-managed-by-the-bureau-of-land-management/,1200000,2005-06-20,Environment,For General Support Of The Wilderness Society's Campaign To Save Lands Managed By The Bureau Of Land Management
Centro Mexicano de Derecho Ambiental,https://hewlett.org/grants/centro-mexicano-de-derecho-ambiental-for-development-of-a-long-term-communications-plan/,30000,2005-06-20,Environment,For Development Of A Long-term Communications Plan
Teatro Vision,https://hewlett.org/grants/teatro-vision-for-staff-salary-and-benefits-and-consultant-services/,188000,2005-06-20,Performing Arts,"For Staff Salary And Benefits, And Consultant Services"
Ravenswood City School District,https://hewlett.org/grants/ravenswood-city-school-district-for-support-of-the-ravenswood-city-school-district-after-school-programs/,124000,2005-06-20,Regional,For Support Of The Ravenswood City School District After School Programs
Montalvo Association,https://hewlett.org/grants/montalvo-association-for-support-of-san-francisco-bay-area-performing-artists-participating-in-the-lucas-artists-residency-program/,200000,2005-06-20,Performing Arts,For Support Of San Francisco Bay Area Performing Artists Participating In The Lucas Artists Residency Program
Marin Symphony Association,https://hewlett.org/grants/marin-symphony-association-for-general-support/,120000,2005-06-20,Performing Arts,For General Support
United Way Silicon Valley,https://hewlett.org/grants/united-way-silicon-valley-for-project-management-and-capacity-building-for-the-greater-san-jose-alternative-education-collaborative-aec/,225000,2005-06-20,Regional,For Project Management And Capacity Building For The Greater San Jose Alternative Education Collaborative (AEC)
Peaceworks Foundation,https://hewlett.org/grants/peaceworks-foundation-for-the-onevoice-initiative-0/,50000,2005-06-20,Special Projects,For The OneVoice Initiative
Eighty Langton Street/New Langton Arts,https://hewlett.org/grants/eighty-langton-street-new-langton-arts-for-general-support-0/,52500,2005-06-20,Performing Arts,For General Support
Educational Broadcasting Corporation,https://hewlett.org/grants/educational-broadcasting-corporation-for-continued-support-of-wide-angle-a-pbs-documentary-series-on-international-topics/,1000000,2005-06-20,Global Development and Population,"For Continued Support Of Wide Angle, A PBS Documentary Series On International Topics"
University of Iowa,https://hewlett.org/grants/university-of-iowa-for-general-support-of-the-widernet-program/,226000,2005-06-20,Education,For General Support Of The WiderNet Program
Fundación por el País que Queremos,https://hewlett.org/grants/fundacion-por-el-pais-que-queremos-for-general-support/,100000,2005-06-20,Environment,For General Support
Education Writers Association,https://hewlett.org/grants/education-writers-association-for-training-for-journalists-from-california-and-nationwide-on-education-data-and-statistics/,80000,2005-06-20,Education,For Training For Journalists From California And Nationwide On Education Data And Statistics
Labor Community Strategy Center,https://hewlett.org/grants/labor-community-strategy-center-for-the-clean-air-clean-lungs-clean-buses-campaign/,50000,2005-06-20,Environment,"For The Clean Air, Clean Lungs, Clean Buses Campaign"
Iniciativa Ciudadana y Desarrollo Social,https://hewlett.org/grants/iniciativa-ciudadana-y-desarrollo-social-for-work-on-fiscal-reform-developed-by-itam-that-benefits-civil-society-organizations-in-mexico/,90000,2005-06-20,Global Development and Population,For Work On Fiscal Reform Developed By ITAM That Benefits Civil Society Organizations In Mexico
People Acting in Community Together,https://hewlett.org/grants/people-acting-in-community-together-for-outreach-education-and-community-organizing-activities-for-the-greater-san-jose-alternative-education-collaborative-aec/,50000,2005-06-20,Regional,"For Outreach, Education And Community Organizing Activities For The Greater San Jose Alternative Education Collaborative (AEC)"
Environmental Defense Fund,https://hewlett.org/grants/environmental-defense-fund-for-a-campaign-to-improve-energy-efficiency-and-reduce-greenhouse-gas-emissions-in-car-and-truck-fleets/,400000,2005-06-20,Environment,For A Campaign To Improve Energy Efficiency And Reduce Greenhouse Gas Emissions In Car And Truck Fleets
National Latina Institute for Reproductive Health,https://hewlett.org/grants/national-latina-institute-for-reproductive-health-for-general-support/,375000,2005-06-20,Global Development and Population,For General Support
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-general-support-of-policy-analysis-for-california-education/,1500000,2005-06-20,Education,For General Support Of Policy Analysis For California Education
American Rivers,https://hewlett.org/grants/american-rivers-for-general-support-of-american-rivers-hydropower-reform-coalition/,1500000,2005-06-20,Environment,For General Support Of American Rivers' Hydropower Reform Coalition
University of San Diego,https://hewlett.org/grants/university-of-san-diego-for-a-project-to-generate-and-disseminate-research-on-justice-reform-in-mexico/,150000,2005-06-20,Global Development and Population,For A Project To Generate And Disseminate Research On Justice Reform In Mexico
Sierra Club of British Columbia,https://hewlett.org/grants/sierra-club-of-british-columbia-for-the-great-bear-rainforest-campaign/,375000,2005-06-20,Environment,For The Great Bear Rainforest Campaign
Z Space Studio,https://hewlett.org/grants/z-space-studio-for-general-support-0/,150000,2005-06-20,Performing Arts,For General Support
New Schools Center of Silicon Valley,https://hewlett.org/grants/new-schools-center-of-silicon-valley-for-the-development-of-a-strategic-plan-and-business-plan/,32000,2005-06-20,Education,For The Development Of A Strategic Plan And Business Plan
Innovation Network,https://hewlett.org/grants/innovation-network-for-general-support/,300000,2005-06-20,Effective Philanthropy,For General Support
Bridgespan Group,https://hewlett.org/grants/bridgespan-group-for-general-support/,1050000,2005-06-20,Effective Philanthropy,For General Support
Americans for Informed Democracy,https://hewlett.org/grants/americans-for-informed-democracy-for-general-support-to-achieve-aids-mission-of-raising-awareness-in-the-u-s-about-world-opinions-of-american-foreign-policy-0/,50000,2005-06-20,Global Development and Population,For General Support To Achieve AID's Mission Of Raising Awareness In The U.S. About World Opinions Of American Foreign Policy
Education Writers Association,https://hewlett.org/grants/education-writers-association-for-training-for-journalists-from-california-and-nationwide-on-education-data-and-statistics/,80000,2005-06-20,Education,For Training For Journalists From California And Nationwide On Education Data And Statistics
Labor Community Strategy Center,https://hewlett.org/grants/labor-community-strategy-center-for-the-clean-air-clean-lungs-clean-buses-campaign/,50000,2005-06-20,Environment,"For The Clean Air, Clean Lungs, Clean Buses Campaign"
Iniciativa Ciudadana y Desarrollo Social,https://hewlett.org/grants/iniciativa-ciudadana-y-desarrollo-social-for-work-on-fiscal-reform-developed-by-itam-that-benefits-civil-society-organizations-in-mexico/,90000,2005-06-20,Global Development and Population,For Work On Fiscal Reform Developed By ITAM That Benefits Civil Society Organizations In Mexico
Environmental Defense Fund,https://hewlett.org/grants/environmental-defense-fund-for-a-project-with-the-chinese-state-environmental-protection-administration-to-improve-the-effectiveness-and-capacity-of-environmental-enforcement-in-china/,200000,2005-06-20,Environment,For A Project With The Chinese State Environmental Protection Administration To Improve The Effectiveness And Capacity Of Environmental Enforcement In China
Educational Broadcasting Corporation,https://hewlett.org/grants/educational-broadcasting-corporation-for-continued-support-of-wide-angle-a-pbs-documentary-series-on-international-topics/,1000000,2005-06-20,Global Development and Population,"For Continued Support Of Wide Angle, A PBS Documentary Series On International Topics"
University of Iowa,https://hewlett.org/grants/university-of-iowa-for-general-support-of-the-widernet-program/,226000,2005-06-20,Education,For General Support Of The WiderNet Program
Fundación por el País que Queremos,https://hewlett.org/grants/fundacion-por-el-pais-que-queremos-for-general-support/,100000,2005-06-20,Environment,For General Support
University of San Diego,https://hewlett.org/grants/university-of-san-diego-for-a-project-to-generate-and-disseminate-research-on-justice-reform-in-mexico/,150000,2005-06-20,Global Development and Population,For A Project To Generate And Disseminate Research On Justice Reform In Mexico
Southern Education Foundation,https://hewlett.org/grants/southern-education-foundation-for-the-education-amendment-working-group/,250000,2005-06-20,Education,For The Education Amendment Working Group
Trout Unlimited,https://hewlett.org/grants/trout-unlimited-for-general-support-of-trout-unlimiteds-western-water-program/,1060000,2005-06-20,Environment,For General Support Of Trout Unlimited's Western Water Program
Johns Hopkins University,https://hewlett.org/grants/johns-hopkins-university-for-support-of-johns-hopkins-bloomberg-school-of-public-health-opencourseware/,634000,2005-06-20,Education,For Support Of Johns Hopkins Bloomberg School Of Public Health Opencourseware
CARE,https://hewlett.org/grants/care-for-the-multi-organizational-one-campaign-to-mobilize-action-by-citizens-and-policymakers-advocating-for-a-greater-u-s-role-in-combating-extreme-poverty-leading-up-to-the-g8-and-mdg-meetings/,200000,2005-06-15,Global Development and Population,For The Multi-organizational ONE Campaign To Mobilize Action By Citizens And Policymakers Advocating For A Greater U.S. Role In Combating Extreme Poverty Leading Up To The G8 And MDG Meetings
Editorial Projects In Education,https://hewlett.org/grants/editorial-projects-in-education-for-general-operating-support/,100000,2005-06-13,Education,For General Operating Support
PICO National Network,https://hewlett.org/grants/pico-national-network-for-a-national-training-institute-for-community-organizing-groups-working-on-education-issues-and-for-a-follow-up-institute-in-california/,70000,2005-06-07,Education,For A National Training Institute For Community Organizing Groups Working On Education Issues And For A Follow-up Institute In California
Organisation for Economic Co-operation and Development,https://hewlett.org/grants/organisation-for-economic-co-operation-and-development-for-an-international-forum-on-e-learning/,25000,2005-06-01,Education,For An International Forum On E-learning
Los Cenzontles Cultural Arts Academy,https://hewlett.org/grants/los-cenzontles-cultural-arts-academy-for-development-of-a-long-range-business-plan/,25000,2005-06-01,Performing Arts,For Development Of A Long Range Business Plan
Generation Earth,https://hewlett.org/grants/generation-earth-for-the-united-nations-environment-programmes-2005-world-environment-day-event-in-san-francisco/,15000,2005-05-26,Environment,For The United Nations Environment Programme's 2005 World Environment Day Event In San Francisco
Boston Plan for Excellence,https://hewlett.org/grants/boston-plan-for-excellence-for-support-of-the-implementation-of-formative-assessments-for-reading-throughout-the-boston-public-schools/,122000,2005-05-20,Education,For Support Of The Implementation Of Formative Assessments For Reading Throughout The Boston Public Schools
Population Council,https://hewlett.org/grants/population-council-for-a-strategic-planning-process/,30000,2005-05-18,Global Development and Population,For A Strategic Planning Process
ISKME,https://hewlett.org/grants/iskme-for-building-a-website-to-increase-awareness-and-understanding-about-open-educational-resources-to-help-users-find-materials-that-meet-their-needs-and-to-provide-tools-for-gathering-user-eval/,200000,2005-05-18,Education,"For Building A Website To Increase Awareness And Understanding About Open Educational Resources To Help Users Find Materials That Meet Their Needs, And To Provide Tools For Gathering User Evaluations Of The Materials"
Third Sector New England,https://hewlett.org/grants/third-sector-new-england-for-distribution-of-a-special-issue-on-shifts-and-proposed-shifts-in-the-nonprofit-regulatory-environment/,15000,2005-05-17,Effective Philanthropy,For Distribution Of A Special Issue On Shifts And Proposed Shifts In The Nonprofit Regulatory Environment
Coalition for a Safe Environment,https://hewlett.org/grants/coalition-for-a-safe-environment-for-an-organizational-effectiveness-grant-to-assist-in-the-establishment-of-a-strategic-organization-sustainability-and-funding-plan/,5000,2005-05-16,Environment,"For An Organizational Effectiveness Grant To Assist In The Establishment Of A ""Strategic Organization Sustainability And Funding Plan"""
Instituto Nacional de Eficiência Energética,https://hewlett.org/grants/instituto-nacional-de-eficiencia-energetica-for-the-3rd-annual-brazilian-electric-vehicle-seminar-and-exhibit/,20000,2005-05-04,Environment,For The 3rd Annual Brazilian Electric Vehicle Seminar And Exhibit
"Redstone Strategy Group, LLC",https://hewlett.org/grants/redstone-strategy-group-llc-for-documenting-and-refining-trout-unlimiteds-western-water-project-strategy/,167075,2005-05-04,Environment,For Documenting And Refining Trout Unlimited's Western Water Project Strategy
Health Effects Institute,https://hewlett.org/grants/health-effects-institute-for-the-science-to-inform-transportation-and-air-quality-decisions-initiative/,500000,2005-04-29,Environment,For The Science To Inform Transportation And Air Quality Decisions Initiative
Movimento Engenharia,https://hewlett.org/grants/movimento-engenharia-for-a-course-on-urban-mobility-environment-and-sustainability-to-be-attended-by-senior-transport-planners-in-brazil/,12000,2005-04-29,Environment,"For A Course On Urban Mobility, Environment And Sustainability, To Be Attended By Senior Transport Planners In Brazil"
Physicians for Social Responsibility - Los Angeles Chapter,https://hewlett.org/grants/physicians-for-social-responsibility-los-angeles-chapter-for-an-organizational-effectiveness-grant-to-improve-psr-las-external-marketing-messaging-and-activism-strategies-via-the-internet/,5000,2005-04-27,Environment,"For An Organizational Effectiveness Grant To Improve PSR-LA's External Marketing, Messaging And Activism Strategies Via The Internet"
"Tides, Inc.",https://hewlett.org/grants/tides-inc-for-the-nonprofitcenters-networks-2005-collaborating-for-success-national-conference/,10000,2005-04-22,Performing Arts,For The NonprofitCenters Network's 2005 Collaborating For Success National Conference
Center for Global Development,https://hewlett.org/grants/center-for-global-development-for-the-preparation-of-a-one-day-meeting-on-population-economic-development-and-reproductive-health/,90000,2005-04-20,Global Development and Population,"For The Preparation Of A One-day Meeting On Population, Economic Development, And Reproductive Health"
University of Mauritius,https://hewlett.org/grants/university-of-mauritius-for-support-of-the-2005-edition-of-the-second-international-conference-on-open-and-online-learning-icool-in-south-africa/,25000,2005-04-20,Education,For Support Of The 2005 Edition Of The Second International Conference On Open And Online Learning (ICOOL) In South Africa
New America,https://hewlett.org/grants/new-america-for-accelerating-the-constructive-dialogue-between-commercial-and-noncommercial-stakeholders-active-in-the-digitization-and-publication-broadly-defined-of-educational-and-cultural-heri/,187000,2005-04-20,Education,"For Accelerating The Constructive Dialogue Between Commercial And Noncommercial Stakeholders Active In The Digitization And Publication, Broadly Defined, Of Educational And Cultural Heritage Materials"
KALW Public Radio,https://hewlett.org/grants/kalw-public-radio-for-the-performing-arts-reporting-component-of-the-public-service-reporting-project/,50000,2005-04-20,Performing Arts,For The Performing Arts Reporting Component Of The Public Service Reporting Project
Alliance for California Traditional Arts,https://hewlett.org/grants/alliance-for-california-traditional-arts-for-general-support-of-the-california-traditional-arts-advancement-program/,120000,2005-04-14,Performing Arts,For General Support Of The California Traditional Arts Advancement Program
Fund for Folk Culture,https://hewlett.org/grants/fund-for-folk-culture-for-development-of-a-strategic-plan/,26500,2005-04-13,Performing Arts,For Development Of A Strategic Plan
Midsummer Mozart,https://hewlett.org/grants/midsummer-mozart-for-general-support-0/,40000,2005-03-28,Performing Arts,For General Support
New England Foundation for the Arts,https://hewlett.org/grants/new-england-foundation-for-the-arts-for-general-support-of-the-san-francisco-bay-area-regional-dance-development-initiative/,100000,2005-03-28,Performing Arts,For General Support Of The San Francisco Bay Area Regional Dance Development Initiative
Midsummer Mozart,https://hewlett.org/grants/midsummer-mozart-for-a-one-to-one-matching-grant/,23000,2005-03-28,Performing Arts,For A One-to-one Matching Grant
Clean Air Task Force,https://hewlett.org/grants/clean-air-task-force-for-completion-of-a-project-in-bangkok-thailand-to-develop-a-model-for-cleaning-up-diesel-air-pollution-throughout-the-developing-world/,25000,2005-03-15,Environment,"For Completion Of A Project In Bangkok, Thailand To Develop A Model For Cleaning Up Diesel Air Pollution Throughout The Developing World"
Princeton University,https://hewlett.org/grants/princeton-university-for-development-pre-testing-and-validation-of-a-module-for-the-american-time-use-survey-and-to-collect-initial-data-for-a-nationally-representative-sample/,400000,2005-02-28,Special Projects,"For Development, Pre-testing And Validation Of A Module For The American Time Use Survey And To Collect Initial Data For A Nationally Representative Sample"
Ashkenaz Music and Dance Community Center,https://hewlett.org/grants/ashkenaz-music-and-dance-community-center-for-general-support-0/,75000,2005-02-28,Performing Arts,For General Support
PolicyLink,https://hewlett.org/grants/policylink-for-the-planning-process-for-a-long-term-statewide-effort-to-promote-fiscal-and-governance-reform-in-california/,60000,2005-02-28,Education,For The Planning Process For A Long-term Statewide Effort To Promote Fiscal And Governance Reform In California
San Francisco Jazz Organization,https://hewlett.org/grants/san-francisco-jazz-organization-for-general-support/,300000,2005-02-28,Performing Arts,For General Support
American Composers Forum of San Francisco,https://hewlett.org/grants/american-composers-forum-of-san-francisco-for-general-support/,150000,2005-02-28,Performing Arts,For General Support
Western Resource Advocates,https://hewlett.org/grants/western-resource-advocates-for-general-support-of-the-rocky-mountain-energy-campaign/,650000,2005-02-28,Environment,For General Support Of The Rocky Mountain Energy Campaign
Rova:Arts,https://hewlett.org/grants/rovaarts-for-general-support/,39000,2005-02-28,Performing Arts,For General Support
GreatSchools,https://hewlett.org/grants/greatschools-for-general-support-with-the-goal-of-the-organization-becoming-self-sustaining-after-the-grant/,580000,2005-02-28,Education,"For General Support, With The Goal Of The Organization Becoming Self-sustaining After The Grant"
Lawrence Berkeley National Lab,https://hewlett.org/grants/lawrence-berkeley-national-lab-for-studies-examining-how-safety-and-fuel-economy-can-be-simultaneously-improved-in-the-united-states-auto-fleet-0/,200000,2005-02-28,Environment,For Studies Examining How Safety And Fuel Economy Can Be Simultaneously Improved In The United States Auto Fleet
Luther Burbank Center for the Arts,https://hewlett.org/grants/luther-burbank-center-for-the-arts-for-general-support-of-performing-arts-programs/,240000,2005-02-28,Performing Arts,For General Support Of Performing Arts Programs
MBA-Nonprofit Connection,https://hewlett.org/grants/mba-nonprofit-connection-for-a-summer-mba-job-fellowship-program-for-selected-environmental-organizations/,50000,2005-02-28,Environment,For A Summer MBA Job Fellowship Program For Selected Environmental Organizations
Security Council Report,https://hewlett.org/grants/security-council-report-for-the-security-council-report/,750000,2005-02-28,Special Projects,For The Security Council Report
BUILD,https://hewlett.org/grants/build-for-general-support/,500000,2005-02-28,Regional,For General Support
Schola Cantorum,https://hewlett.org/grants/schola-cantorum-for-general-support-and-strategic-planning/,18000,2005-02-28,Performing Arts,For General Support And Strategic Planning
International Center for Not-for-Profit Law,https://hewlett.org/grants/international-center-for-not-for-profit-law-for-the-partners-improving-laws-affecting-philanthropy-project/,190000,2005-02-28,Global Development and Population,For The Partners Improving Laws Affecting Philanthropy Project
La Peña Cultural Center,https://hewlett.org/grants/la-pena-cultural-center-for-general-support/,180000,2005-02-28,Performing Arts,For General Support
Business-Arts Council,https://hewlett.org/grants/business-arts-council-for-general-support/,120000,2005-02-28,Performing Arts,For General Support
Kuumbwa Jazz Society,https://hewlett.org/grants/kuumbwa-jazz-society-for-general-support/,75000,2005-02-28,Performing Arts,For General Support
International Union for the Scientific Study of Population,https://hewlett.org/grants/international-union-for-the-scientific-study-of-population-for-general-support-0/,300000,2005-02-28,Global Development and Population,For General Support
Old First Center for the Arts / Old First Concerts,https://hewlett.org/grants/old-first-center-for-the-arts-old-first-concerts-for-general-support/,45000,2005-02-28,Performing Arts,For General Support
La Peña Cultural Center,https://hewlett.org/grants/la-pena-cultural-center-for-general-support/,180000,2005-02-28,Performing Arts,For General Support
East Bay Performing Arts,https://hewlett.org/grants/east-bay-performing-arts-for-general-support/,255000,2005-02-28,Performing Arts,For General Support
Kuumbwa Jazz Society,https://hewlett.org/grants/kuumbwa-jazz-society-for-general-support/,75000,2005-02-28,Performing Arts,For General Support
University of Montana,https://hewlett.org/grants/university-of-montana-for-general-support-of-the-center-for-the-rocky-mountain-west-0/,200000,2005-02-28,Environment,For General Support Of The Center For The Rocky Mountain West
Fundación del Empresariado en Mexico,https://hewlett.org/grants/fundacion-del-empresariado-en-mexico-for-the-technical-design-of-the-fundemex-funding-mechanism/,135000,2005-02-28,Global Development and Population,For The Technical Design Of The FUNDEMEX Funding Mechanism
Facing the Future: People and the Planet,https://hewlett.org/grants/facing-the-future-people-and-the-planet-for-general-support/,25000,2005-02-28,Global Development and Population,For General Support
Business-Arts Council,https://hewlett.org/grants/business-arts-council-for-general-support/,120000,2005-02-28,Performing Arts,For General Support
Western Governors Foundation,https://hewlett.org/grants/western-governors-foundation-for-the-clean-and-diversified-energy-initiative/,250000,2005-02-28,Environment,For The Clean And Diversified Energy Initiative
Security Council Report,https://hewlett.org/grants/security-council-report-for-the-security-council-report/,750000,2005-02-28,Special Projects,For The Security Council Report
Population Reference Bureau,https://hewlett.org/grants/population-reference-bureau-for-development-of-dissemination-and-marketing-strategies/,30000,2005-02-28,Global Development and Population,For Development Of Dissemination And Marketing Strategies
Rova:Arts,https://hewlett.org/grants/rovaarts-for-general-support/,39000,2005-02-28,Performing Arts,For General Support
GreatSchools,https://hewlett.org/grants/greatschools-for-general-support-with-the-goal-of-the-organization-becoming-self-sustaining-after-the-grant/,580000,2005-02-28,Education,"For General Support, With The Goal Of The Organization Becoming Self-sustaining After The Grant"
Greater Washington Educational Telecommunications Association,https://hewlett.org/grants/greater-washington-educational-telecommunications-association-for-continuation-of-the-by-the-people-project/,1000000,2005-02-28,Global Development and Population,For Continuation Of The By The People Project
Population Reference Bureau,https://hewlett.org/grants/population-reference-bureau-for-development-of-dissemination-and-marketing-strategies/,30000,2005-02-28,Global Development and Population,For Development Of Dissemination And Marketing Strategies
University of Montana,https://hewlett.org/grants/university-of-montana-for-general-support-of-the-center-for-the-rocky-mountain-west-0/,200000,2005-02-28,Environment,For General Support Of The Center For The Rocky Mountain West
Community Development Institute,https://hewlett.org/grants/community-development-institute-for-support-of-nuestra-casas-parent-english-literacy-and-leadership-development-in-east-palo-alto/,80000,2005-02-28,Regional,For Support Of Nuestra Casa's Parent English Literacy And Leadership Development In East Palo Alto
Relational Culture Institute,https://hewlett.org/grants/relational-culture-institute-for-an-organizational-effectiveness-grant/,5000,2005-02-28,Environment,For An Organizational Effectiveness Grant
Community Medical Foundation,https://hewlett.org/grants/community-medical-foundation-for-the-medical-advocates-for-healthy-airs-scientific-symposium-on-air-pollution/,40000,2005-02-28,Environment,For The Medical Advocates For Healthy Air's Scientific Symposium On Air Pollution
Population Council,https://hewlett.org/grants/population-council-for-emergency-contraception-programs-in-africa/,250000,2005-02-28,Global Development and Population,For Emergency Contraception Programs In Africa
American Medical Women's Association,https://hewlett.org/grants/american-medical-womens-association-for-the-reproductive-health-initiative-0/,100000,2005-02-28,Global Development and Population,For The Reproductive Health Initiative
Independent Television Service,https://hewlett.org/grants/independent-television-service-for-the-launch-of-the-public-private-international-media-development-fund-a-documentary-and-journalistic-production-initiative-to-bring-international-perspectives-to/,2000000,2005-02-28,Global Development and Population,"For The Launch Of The Public-private International Media Development Fund, A Documentary And Journalistic Production Initiative To Bring International Perspectives To American Television Audiences"
Social and Environmental Entrepreneurs,https://hewlett.org/grants/social-and-environmental-entrepreneurs-for-general-support-of-east-yard-communities-for-environmental-justice/,35000,2005-02-28,Environment,For General Support Of East Yard Communities For Environmental Justice
SRI International,https://hewlett.org/grants/sri-international-for-the-addition-of-a-fifth-school-to-the-evaluation-of-the-kipp-academies-in-the-san-francisco-bay-area/,84000,2005-02-28,Education,For The Addition Of A Fifth School To The Evaluation Of The KIPP Academies In The San Francisco Bay Area
Ives Quartet,https://hewlett.org/grants/ives-quartet-for-general-support-0/,39000,2005-02-28,Performing Arts,For General Support
Cypress Performing Arts Association,https://hewlett.org/grants/cypress-performing-arts-association-for-general-support-0/,90000,2005-02-28,Performing Arts,For General Support
National Center on Education and the Economy,https://hewlett.org/grants/national-center-on-education-and-the-economy-for-a-research-and-policy-analysis-project-to-explore-ways-to-raise-the-productivity-of-education-and-training-institutions-in-the-u-s/,400000,2005-02-28,Education,For A Research And Policy Analysis Project To Explore Ways To Raise The Productivity Of Education And Training Institutions In The U.S.
Energy Foundation,https://hewlett.org/grants/energy-foundation-for-general-support-of-the-energy-foundations-china-transportation-program-0/,2000000,2005-02-28,Environment,For General Support Of The Energy Foundation's China Transportation Program
Berkeley Society for the Preservation of Traditional Music,https://hewlett.org/grants/berkeley-society-for-the-preservation-of-traditional-music-for-general-support/,90000,2005-02-28,Performing Arts,For General Support
One East Palo Alto Neighborhood Improvement Initiative,https://hewlett.org/grants/one-east-palo-alto-neighborhood-improvement-initiative-for-the-one-east-palo-alto-neighborhood-improvement-initiative-0/,521210,2005-02-28,Regional,For The One East Palo Alto Neighborhood Improvement Initiative
International Institute for Applied Systems Analysis,https://hewlett.org/grants/international-institute-for-applied-systems-analysis-for-a-project-to-assess-population-science-and-training-capacities-in-african-academic-institutions/,130000,2005-02-28,Global Development and Population,For A Project To Assess Population Science And Training Capacities In African Academic Institutions
Oxfam GB,https://hewlett.org/grants/oxfam-gb-for-a-situational-analysis-of-reproductive-health-and-hiv-aids-in-two-african-countries/,75000,2005-02-28,Global Development and Population,For A Situational Analysis Of Reproductive Health And HIV/AIDS In Two African Countries
National Partnership for Women and Families,https://hewlett.org/grants/national-partnership-for-women-and-families-for-general-support-1/,100000,2005-02-28,Global Development and Population,For General Support
San Jose Jazz,https://hewlett.org/grants/san-jose-jazz-for-general-support-0/,150000,2005-02-28,Performing Arts,For General Support
Stanford University,https://hewlett.org/grants/stanford-university-for-a-meeting-on-the-resort-by-state-to-preventive-force/,120000,2005-02-28,Special Projects,For A Meeting On The Resort By State To Preventive Force
San Francisco Conservatory of Music,https://hewlett.org/grants/san-francisco-conservatory-of-music-for-general-support/,420000,2005-02-28,Performing Arts,For General Support
Stanford University,https://hewlett.org/grants/stanford-university-for-general-support-of-the-stanford-institute-for-economic-policy-research/,800000,2005-02-28,Special Projects,For General Support Of The Stanford Institute For Economic Policy Research
Gynuity Health Projects,https://hewlett.org/grants/gynuity-health-projects-for-a-project-to-introduce-and-expand-reproductive-health-technologies/,500000,2005-02-28,Global Development and Population,For A Project To Introduce And Expand Reproductive Health Technologies
Resource Media,https://hewlett.org/grants/resource-media-for-general-support-of-the-energy-and-public-lands-program/,500000,2005-02-28,Environment,For General Support Of The Energy And Public Lands Program
Music at Kohl Mansion,https://hewlett.org/grants/music-at-kohl-mansion-for-general-support/,45000,2005-02-28,Performing Arts,For General Support
Coalition for a Safe Environment,https://hewlett.org/grants/coalition-for-a-safe-environment-for-general-support/,40000,2005-02-28,Environment,For General Support
Liberty Hill Foundation,https://hewlett.org/grants/liberty-hill-foundation-for-general-support-of-liberty-hills-environmental-justice-fund/,70000,2005-02-28,Environment,For General Support Of Liberty Hill's Environmental Justice Fund
American Academy of Arts and Sciences,https://hewlett.org/grants/american-academy-of-arts-and-sciences-for-a-capital-campaign/,3000000,2005-02-28,Special Projects,For A Capital Campaign
SeaWeb,https://hewlett.org/grants/seaweb-for-the-philanthropic-awareness-initiative/,30000,2005-02-28,Effective Philanthropy,For The Philanthropic Awareness Initiative
San Jose Taiko,https://hewlett.org/grants/san-jose-taiko-for-general-support-0/,75000,2005-02-28,Performing Arts,For General Support
